id;value;description;award_date;student_id;teacher_id
77;1;Today Merle Vaughan-Lee demonstrated extraordinary understanding of the problem.;2024-06-14;709;14
78;-1;Today Noella Paisley sent a cursed note to another student.;2023-10-30;102;62
79;-4;Five days ago Marlene Porter was insanely indifferent.;2023-11-24;803;67
80;-5;Jordan Corin proved to be completely disrespectful.;2024-02-20;342;46
81;-9;A week ago Marcie Oatway proved to be wildly insensitive.;2023-12-27;848;66
82;2;Lillie Loates expressed  intuition of the problem.;2023-09-28;33;88
83;-3;Dave Goddard happened to be  condescending.;2024-05-04;143;36
84;-9;Marie Lockwood happened to be  indifferent.;2024-05-08;308;89
85;2;Esther Satterly illustrated the spell.;2023-11-20;751;28
86;13;Today Lotty Smedley-Aston happened to be incredibly helpful.;2024-01-27;84;33
87;3;Paulina Sharpe showed prominent intuition of the subject.;2024-04-26;522;0
88;-11;Brandy Bostick was  inconsiderate.;2023-09-21;529;29
89;4;Joyce Peters remained profoundly friendly.;2024-06-08;836;27
90;-2;Yesterday Casey Winkles caused a cauldron to explode in Potions.;2024-05-15;347;86
91;-4;Five days ago Honor Heron continued to be utterly negligent.;2023-09-23;62;78
92;-7;Today Tansy Bailey continued to be highly cold.;2024-05-08;276;16
93;-2;Five days ago Robert Hance happened to be particularly strict.;2024-02-29;101;35
94;-2;Today Willard Jack released a Dungbomb in the Great Hall.;2024-05-06;914;56
95;3;A week ago Kim Stromberg was immensely attentive.;2024-02-01;938;79
96;1;Myron Deacon remained wholeheartedly wise.;2023-12-02;264;82
97;-14;Dani Reid sent a cursed note to another student.;2023-10-22;66;86
98;5;A week ago Frances Nolan expressed exceptional skills of the concept.;2023-11-14;951;99
99;1;Two days ago Heath Peabody started being wonderfully generous.;2024-04-21;854;33
100;4;Today Conor Weaving showed great intuition of the concept.;2023-12-04;34;60
101;7;Five days ago Renesmee Applegate presented the spell.;2023-11-17;448;71
102;4;Today Lila Gillibrand presented the subject with extraordinary understanding.;2024-06-02;351;1
103;1;Today Carissa Hartland illustrated the problem.;2024-01-29;573;1
104;-9;Barb Reckord remained horribly inflexible.;2024-04-05;306;46
105;-8;Sheryl Tyler was ridiculously insensitive.;2024-04-10;16;108
106;-1;Today Charlotte Tompson continued to be totally impatient.;2023-12-19;213;90
107;-1;Today Mel Whibley threw food during mealtime.;2023-12-03;201;78
108;4;Jonny Allpress illustrated the subject.;2024-06-13;595;75
109;1;Today Patsy Findlay gave a demonstration of prominent understanding of the subject matter.;2024-02-28;469;33
110;-4;Today Gloria Lilley started being slightly negligent.;2024-01-15;919;73
111;1;Today Ashton Warnock gave a demonstration of exceptional passion of the topic.;2023-09-08;491;10
112;2;Oscar Crockett continued to be extremely attentive.;2024-01-04;927;59
113;4;Today Jill Yeager presented the subject matter.;2023-11-30;558;64
114;-7;Yesterday Israel Northmore spoke disrespectfully to a professor.;2023-11-01;965;100
115;-6;Six days ago Agnes Arch continued to be excessively insensitive.;2024-06-13;850;86
116;3;Marsha Younge demonstrated extraordinary comprehension of the concept.;2023-10-20;760;61
117;-9;Two days ago Elle Manville continued to be highly intolerant.;2024-06-22;140;81
118;3;Arliss Jack continued to be deeply motivating.;2023-10-17;36;79
119;-6;Today Jayson Moore-Bick happened to be notoriously insensitive.;2023-09-12;116;53
120;3;Today Babette Whitehead discussed the topic.;2023-09-22;221;85
121;-4;Today Nathanael Donovan continued to be utterly strict.;2024-06-08;637;21
122;4;Two days ago Tammy Bradley gave a demonstration of notable skills.;2023-11-29;579;89
123;-7;Two days ago Cynthia Pickard-Cambridge arrived late to class.;2024-05-10;315;26
124;-6;Sandra Stringfellow started being absurdly inflexible.;2024-02-23;104;80
125;-1;Naila Hall threw food during mealtime.;2024-04-14;416;30
126;-4;Five days ago Tyler Driver continued to be particularly unapproachable.;2024-04-22;777;51
127;-2;Today Leanne Lloyd Webber remained  demeaning.;2024-05-18;506;81
128;1;Four days ago Lizzie French presented the subject with prominent intuition.;2023-10-01;403;19
129;2;Gus Millard happened to be exceptionally attentive.;2023-12-19;785;70
130;-7;Roger Dan continued to be extremely disrespectful.;2023-09-17;300;88
131;7;A week ago Jodi Appleby demonstrated appreciable skills of the problem.;2024-04-07;949;42
132;-10;A week ago Palmer Greenwood started being highly inflexible.;2024-05-04;703;105
133;-2;Two days ago Kristen Joyce started being  harsh.;2024-01-20;132;4
134;-3;Three days ago Palmer Amos sent a cursed note to another student.;2024-04-19;67;1
135;1;Two days ago Sylvie Heywood happened to be extraordinarily caring.;2024-05-02;800;89
136;3;Five days ago Lizzie French illustrated the topic with  mastery.;2024-03-14;403;58
137;6;Jade Round showed  intuition.;2024-03-09;69;5
138;-1;Blair Parks released a Dungbomb in the Great Hall.;2023-10-17;205;38
139;3;Today Patsy May gave a demonstration of  skills.;2023-09-19;91;102
140;4;Today Marian Pettit happened to be outstandingly fair.;2024-01-14;536;47
141;1;Today Marlene Latham showed noteworthy understanding.;2024-02-17;197;12
142;3;Five days ago Giovanni Romney discussed the problem.;2023-10-09;319;94
143;4;Three days ago Sapphire Bubb started being genuinely thoughtful.;2023-10-17;214;17
144;-7;Today Persis Waddington started being extremely apathetic.;2023-12-19;136;102
145;-10;Four days ago Joan Cheatley skipped class without permission.;2023-09-08;608;82
146;4;Today Vincent Akroyd remained truly considerate.;2024-05-27;226;1
147;-2;Two days ago Karrie Whiteway sent a cursed note to another student.;2023-12-20;984;1
148;5;Four days ago Renesmee Franklin was tremendously supportive.;2024-03-26;179;9
149;7;Three days ago Samantha Mills illustrated the problem with extraordinary mastery.;2024-03-15;139;98
150;1;Six days ago Cherry Carmichael happened to be very uplifting.;2023-09-14;343;76
151;-7;Arda Allingham proved to be incredibly insensitive.;2023-12-01;514;24
152;1;Yesterday Renesmee Isler continued to be exceptionally gentle.;2023-12-23;789;60
153;3;Today Francie Brackman expressed noteworthy knowledge of the problem.;2023-09-12;786;101
154;-3;Five days ago Mandy Holden happened to be totally aggressive.;2023-09-25;818;53
155;-2;Two days ago Velma Harper remained utterly unapproachable.;2023-12-25;293;62
156;7;Three days ago Blanche Boydell proved to be notably understanding.;2023-09-16;706;3
157;-6;Job Sherwood happened to be  hostile.;2023-10-13;737;99
158;-4;Merle Welch happened to be remarkably patronizing.;2024-04-17;663;110
159;-3;Charlotte MacCloud was  strict.;2023-11-06;365;11
160;4;Today Abel Mandeville was extraordinarily inspiring.;2024-06-29;555;88
161;9;Amber Instone discussed the subject matter.;2024-04-11;980;76
162;2;Three days ago Penny Minter discussed the topic.;2024-01-21;184;7
163;-3;Yesterday Claudia Marshall happened to be  inconsiderate.;2024-06-28;316;68
164;8;Logan Haver remained exceptionally considerate.;2024-06-28;557;54
165;7;Sapphire Bubb demonstrated exceptional skills of the problem.;2024-03-15;214;92
166;-9;Margaret Leatherbarrow was found wandering after curfew.;2024-03-11;905;20
167;4;Gus Millard explained the subject.;2024-06-11;785;55
168;-4;Kristy Parks was found wandering after curfew.;2024-02-11;665;97
169;-8;Today Ebony Bateup continued to be particularly manipulative.;2024-02-23;959;74
170;3;Elektra Bettridge remained deeply friendly.;2023-12-10;471;110
171;1;Today Derrick Sammon was extraordinarily tolerant.;2024-01-26;807;69
172;4;Six days ago Mayola Tomkinson remained sincerely attentive.;2023-10-16;576;9
173;6;Today Faith Bratt happened to be wonderfully wise.;2024-01-03;97;60
174;4;Eliza Popham discussed the spell with appreciable passion.;2023-11-05;228;42
175;3;Five days ago Dulcie Roe demonstrated outstanding understanding of the subject matter.;2023-09-26;513;76
176;-3;Eve Stubbs used a forbidden spell.;2024-06-25;128;65
177;3;Five days ago Estelle Hooper was deeply encouraging.;2024-01-28;24;9
178;6;Yesterday Wilfred Bassham happened to be outstandingly kind.;2023-10-15;372;75
179;4;Eileen Glancey happened to be notably encouraging.;2024-01-11;752;50
180;-2;Six days ago Tucker Chapman continued to be particularly cold.;2024-05-17;423;22
181;-5;A week ago Diane O'Hara remained particularly patronizing.;2023-11-23;3;58
182;2;Today Mills North presented the problem with appreciable capability.;2024-03-30;212;41
183;-5;Six days ago Thomasina Holliday threw food during mealtime.;2024-05-11;998;103
184;7;Three days ago Cecilia Bimpson happened to be very friendly.;2024-05-05;198;39
185;-4;Duke Finn proved to be  unfair.;2024-02-04;321;4
186;1;Five days ago Mandy Ashley-Cooper gave a demonstration of  skills.;2024-03-03;552;29
187;3;Today Milward Hilliam proved to be especially attentive.;2024-04-21;763;66
188;3;Today Hayden Croucher was sincerely supportive.;2023-12-25;396;16
189;2;Three days ago Kitty Naismith proved to be outstandingly inspiring.;2023-09-17;744;96
190;12;Today Celinda Hind demonstrated appreciable mastery of the topic.;2023-09-05;219;73
191;-2;Two days ago Jeanie Glanton arrived late to class.;2024-03-31;995;59
192;2;Marlene Latham illustrated the subject matter with great capability.;2024-01-13;197;86
193;-2;Maddox Stebbins happened to be incredibly rude.;2023-10-23;742;90
194;4;Four days ago Micah Armstead happened to be very uplifting.;2023-10-27;563;2
195;4;Myra Edmondson started being immensely kind.;2023-11-02;52;18
196;-3;Two days ago Christopher Bigden remained overly disrespectful.;2024-01-31;133;18
197;-3;Four days ago Hubert Welsh remained utterly aggressive.;2024-01-18;675;86
198;11;Leslie Bastock explained the spell.;2023-10-03;185;1
199;8;Six days ago Patience Fruean proved to be especially thoughtful.;2024-05-08;312;13
200;2;Five days ago Naila Hall showed great capability of the subject matter.;2023-11-29;416;105
201;2;Five days ago Hunter Addams presented the subject matter.;2023-11-14;525;95
202;-3;Today Patience Fruean caused a cauldron to explode in Potions.;2024-03-06;312;9
203;3;Storm McCain remained amazingly kind.;2024-06-09;632;47
204;-6;Karlee Piper started being notoriously aggressive.;2024-06-13;48;91
205;2;Three days ago Casey Harvey continued to be highly friendly.;2023-12-12;170;21
206;-5;Yesterday Philippa Polson skipped class without permission.;2024-01-28;598;62
207;1;Rain Lightner continued to be immensely nurturing.;2024-04-03;916;54
208;-7;Raleigh Medford continued to be highly manipulative.;2023-11-01;74;63
209;8;Today Maximilian Brannick gave a demonstration of  capability.;2023-09-28;344;98
210;-5;Susan Hollingsworth remained surprisingly harsh.;2023-12-28;867;42
211;5;Four days ago Susanna Lampkin discussed the spell with  comprehension.;2023-12-03;880;14
212;-6;Arnold Brookes started being entirely unsupportive.;2023-12-10;209;38
213;3;Francine Palmer-Tomkinson gave a demonstration of  mastery of the subject matter.;2024-03-08;422;55
214;9;A week ago Alexander Hodierna demonstrated outstanding passion of the subject.;2024-02-14;528;35
215;-3;Karlee Piper attempted to enter the Forbidden Forest.;2024-01-01;48;103
216;-9;Six days ago Melanie Pritchard remained incredibly manipulative.;2023-09-30;835;85
217;2;Eve Stubbs demonstrated extraordinary understanding.;2024-04-08;128;4
218;-2;Five days ago Zedekiah Voyles happened to be exceptionally apathetic.;2023-10-21;662;103
219;4;Three days ago Patsy May gave a demonstration of exceptional passion.;2024-04-21;91;84
220;-4;Jaime Hayden remained surprisingly impatient.;2024-04-26;244;86
221;5;Today Sharla Ousey demonstrated  passion.;2023-10-21;497;83
222;-3;Blair Parks was found wandering after curfew.;2023-11-10;205;57
223;1;Six days ago Christabel Wilkes discussed the subject with outstanding understanding.;2024-06-18;382;77
224;-5;A week ago Winston Howorth started being highly unhelpful.;2024-03-04;303;48
225;5;Two days ago Eve Radcliffe expressed extraordinary knowledge.;2024-01-29;743;104
226;-1;Azalea Woolery disrupted class with inappropriate joke.;2023-10-02;806;31
227;1;Heather Griffith presented the subject matter with appreciable mastery.;2024-04-15;531;11
228;-5;A week ago Willow Cortright was  inconsiderate.;2024-04-25;401;37
229;4;Today Karl Ainscow presented the subject.;2023-09-28;387;70
230;-1;Today Rich Sparrow was found wandering after curfew.;2024-04-14;158;64
231;2;Tallulah Horler demonstrated prominent passion of the concept.;2024-06-05;828;26
232;1;Three days ago Petula Read remained hugely respectful.;2024-05-28;915;67
233;-4;Six days ago Deb Cheatley skipped class without permission.;2023-09-26;582;33
234;-4;Steve Fowler spoke disrespectfully to a professor.;2023-11-13;535;47
235;1;Two days ago Janey Ashpitel was exceptionally considerate.;2024-06-10;399;24
236;-2;Kaylee Ruffer started being unbelievably apathetic.;2023-12-02;766;31
237;7;A week ago Liliana Oglethorpe remained hugely generous.;2024-06-05;134;73
238;-10;A week ago Sidney Yarborough remained overly dismissive.;2024-04-06;368;8
239;-2;A week ago Rosie Asbridge remained  unfair.;2023-10-14;509;91
240;-8;Today Hartland Hargrove threw food during mealtime.;2023-10-01;389;1
241;-4;Yesterday Julianne Vann threw food during mealtime.;2023-11-27;565;80
242;2;Today Alicia Buxton illustrated the subject.;2024-03-29;420;45
243;3;Today Nolan Chorlton happened to be tremendously thoughtful.;2023-12-13;326;57
244;6;Six days ago Storm McCain happened to be extraordinarily generous.;2024-01-10;632;107
245;10;Six days ago Charlyne Greensmith proved to be remarkably motivating.;2024-03-24;418;13
246;-8;Gwendoline Ritchie was highly unfair.;2024-01-04;966;46
247;1;Paul Boot remained immensely nurturing.;2024-01-17;688;83
248;3;Today Honor Heron happened to be extremely patient.;2023-10-17;62;55
249;-2;Today Kent Taft failed to complete homework assignment.;2024-04-16;819;40
250;5;A week ago Danna Lapthorne gave a demonstration of notable intuition.;2023-10-14;924;94
251;-7;Charles Ponting failed to complete homework assignment.;2024-04-18;639;90
252;5;Six days ago Julianne Blight expressed notable comprehension.;2024-03-19;718;15
253;-5;Siouxsie Gedye started being particularly hostile.;2023-12-19;840;36
254;-11;A week ago Whitney Bowes started being exceptionally critical.;2024-01-30;567;89
255;-14;Today Hester Blakemore happened to be ridiculously rude.;2023-11-11;874;54
256;1;Three days ago Davis Catesby started being notably fair.;2024-02-11;210;96
257;12;Today Jeanie Hawking remained exceptionally thoughtful.;2023-10-01;49;27
258;8;Two days ago Lauryn Spaulding remained highly empathetic.;2023-12-08;711;10
259;1;Three days ago Mills North gave a demonstration of  intuition of the subject.;2024-02-02;212;97
260;6;Six days ago Ford Jex-Blake explained the problem.;2024-06-05;712;88
261;3;Adelaide Slade showed  mastery.;2023-09-15;472;81
262;5;Kathryn Muir continued to be highly caring.;2024-04-01;7;12
263;1;Today Jeannie Hedges expressed great understanding.;2023-09-02;913;58
264;1;Today Christina Bowser was incredibly motivating.;2023-11-09;758;85
265;2;Four days ago Willow Cortright explained the concept.;2023-10-18;401;45
266;8;Today Angelica Maxse illustrated the topic.;2024-05-02;323;55
267;1;Valda Newdigate expressed noteworthy capability of the problem.;2024-01-28;667;104
268;-7;Today Winston Howorth was caught in a restricted section without permission.;2024-01-24;303;73
269;1;Kian Brickey explained the topic with outstanding understanding.;2023-09-21;862;96
270;-7;Five days ago Jeanie Hawking remained overly insensitive.;2024-01-03;49;99
271;4;Today Nathanael Donovan explained the topic with  passion.;2024-04-30;637;16
272;2;Today Jodie Orlebar was notably supportive.;2023-09-12;123;47
273;-2;Whitney Errington proved to be slightly strict.;2023-12-14;362;17
274;-2;Two days ago Candy Ackland continued to be slightly demeaning.;2024-04-03;163;38
275;-1;A week ago Isabel Crosby attempted to enter the Forbidden Forest.;2023-12-13;261;9
276;-4;Three days ago Irene Anderson continued to be notoriously patronizing.;2023-10-10;896;74
277;5;Today Alaina Trotter presented the spell.;2023-09-20;556;21
278;-7;Four days ago Sam Byron attempted to enter the Forbidden Forest.;2024-02-09;110;92
279;-4;Today Amber Instone proved to be totally rude.;2024-03-30;980;7
280;-1;Three days ago Maddox Lawyer proved to be very harsh.;2023-09-17;6;58
281;4;Yesterday Jill Yeager gave a demonstration of outstanding knowledge.;2024-01-15;558;89
282;-2;Three days ago Mary Belle Hickley was found wandering after curfew.;2023-11-15;738;85
283;-8;Today Bardil Gillies caused a cauldron to explode in Potions.;2024-01-19;852;24
284;-3;Six days ago April Easterling continued to be entirely critical.;2023-09-07;834;57
285;-1;Five days ago Faith Bowden was found wandering after curfew.;2024-01-05;430;83
286;3;Fabienne Howfield happened to be extremely attentive.;2024-01-20;515;84
287;-1;Christabel Bingham continued to be exceptionally hostile.;2023-11-19;241;97
288;1;A week ago Alberta Hancock expressed exceptional comprehension.;2023-10-06;297;44
289;-3;Today Maximilian Sanderson threw food during mealtime.;2023-10-21;805;16
290;-6;Magnolia Whidden was utterly patronizing.;2024-01-04;622;52
291;1;Two days ago Isabel Crosby discussed the subject.;2024-01-26;261;95
292;-1;Yesterday Drew Maxwell happened to be wildly condescending.;2024-06-21;856;85
293;5;Julie Wilmut discussed the spell.;2024-06-16;19;13
294;-5;Four days ago Persis Jenson continued to be horribly manipulative.;2024-02-12;821;33
295;6;Rosie Asbridge continued to be especially supportive.;2023-10-29;509;103
296;-4;Paulina English happened to be highly critical.;2023-09-22;324;51
297;-2;Three days ago Susan Hollingsworth failed to complete homework assignment.;2023-10-14;867;92
298;-6;Lillie DeSanto happened to be  aggressive.;2023-09-30;459;6
299;-2;Three days ago Paulina Kaye failed to complete homework assignment.;2023-10-04;946;78
300;5;Four days ago Danna Noakes happened to be sincerely nurturing.;2023-10-14;466;86
301;8;Five days ago Kasey Saywell expressed  awareness of the problem.;2023-10-26;330;37
302;-9;Six days ago Eliza Popham was utterly inflexible.;2024-05-22;228;29
303;-1;Five days ago Jade Tincknell continued to be incredibly unhelpful.;2023-10-22;394;85
304;-5;Today Madison Hobson was unbelievably hostile.;2023-09-04;653;58
305;4;Six days ago Mabel Hance demonstrated outstanding passion of the subject.;2023-10-22;367;40
306;4;Four days ago Algernon Hewson gave a demonstration of notable understanding.;2023-12-30;10;92
307;4;Duncan Dickins showed noteworthy understanding of the spell.;2024-02-16;495;55
308;-2;Carmelita Natt was found wandering after curfew.;2024-06-14;550;25
309;-4;Today Jodi Chilton remained  indifferent.;2024-06-27;313;104
310;-6;Six days ago Dustin Cotton was ridiculously condescending.;2024-03-12;839;1
311;-1;Yesterday Zelda Fletcher sent a cursed note to another student.;2024-06-14;223;1
312;-2;Three days ago Rosaleen Northmore was very cold.;2023-10-10;907;18
313;-5;Today Demi Raymond was found wandering after curfew.;2023-09-18;217;86
314;-7;Two days ago Deanna Watt proved to be insanely insensitive.;2024-01-18;521;55
315;-3;Today Dobie Ingham was  unhelpful.;2023-10-07;373;29
316;-11;Today Mila Evans caused a cauldron to explode in Potions.;2024-04-02;677;92
317;-11;Angelica Maxse sent a cursed note to another student.;2024-01-13;323;63
318;9;Gwendolyn Streatfeild discussed the topic.;2024-03-26;673;100
319;-2;Today Miriam Greenwood was found wandering after curfew.;2023-10-22;256;103
320;5;Yesterday Montie Jemison started being incredibly trustworthy.;2023-10-26;638;97
321;-8;A week ago Deanna Watt was shockingly patronizing.;2024-06-07;521;50
322;4;Alvina Sheridan illustrated the spell.;2024-03-08;604;17
323;9;Five days ago Joelle Fleishhacker answered the question exceptional capability of the topic.;2024-04-07;243;85
324;-2;Karyn Adkins used magic in the corridors between classes.;2024-01-14;317;84
325;-5;Today Gulliver Younge remained  inconsiderate.;2024-02-19;745;21
326;-2;Yesterday Kaylee Ruffer started being highly impatient.;2023-12-24;766;103
327;-5;Drummond Craven proved to be remarkably unhelpful.;2023-12-21;816;45
328;-4;Today Joanna Parkins continued to be  patronizing.;2024-01-10;961;24
329;-4;Five days ago Sam Penington spoke disrespectfully to a professor.;2023-10-26;413;75
330;3;Five days ago Carol Anne Rakestraw remained deeply wise.;2023-12-09;446;95
331;-4;Five days ago Venus Gordon skipped class without permission.;2023-12-01;92;11
332;-9;Charla Arthur continued to be insanely aggressive.;2023-11-26;627;101
333;-7;Arda Devlin continued to be totally disrespectful.;2024-01-29;358;60
334;2;Six days ago Regina Rykener was sincerely tolerant.;2024-05-18;910;55
335;-5;Five days ago Alberta Hancock used a forbidden spell.;2024-06-30;297;42
336;-4;Estelle Clapham remained highly critical.;2024-02-04;847;30
337;-9;Today Carole Bloodworth was absurdly patronizing.;2023-11-18;772;83
338;3;Five days ago Bernard Biggs was exceptionally helpful.;2023-09-24;669;15
339;2;A week ago Dobie Heatherly explained the subject with outstanding skills.;2024-05-29;699;73
340;-7;Yesterday Lorelei Noyce proved to be notoriously intolerant.;2023-10-19;322;31
341;-8;Peggy Lees was caught in a restricted section without permission.;2023-10-10;406;70
342;-2;Today Temperance Launchbury threw food during mealtime.;2023-12-24;762;51
343;2;Four days ago Jon Lane showed  capability.;2024-02-29;72;45
344;1;Today Marlene Porter discussed the topic.;2023-11-06;803;81
345;-6;Five days ago Davis Catesby continued to be extremely impatient.;2023-12-15;210;104
346;3;Today Gus Millard presented the spell with prominent skills.;2023-12-23;785;6
347;7;Today Eliza Popham proved to be hugely dedicated.;2023-11-13;228;10
348;2;Six days ago Jayden Armitstead demonstrated  passion of the subject.;2023-11-19;614;74
349;-5;Today Nadine Peverett continued to be remarkably insensitive.;2023-10-06;463;58
350;7;Three days ago Dylan Keers presented the topic with extraordinary capability.;2024-03-31;855;81
351;7;Clarice Cooper started being exceptionally empathetic.;2024-02-09;23;26
352;5;Heath Peabody continued to be extraordinarily gentle.;2023-11-23;854;65
353;5;Today Maximilian Brannick started being truly compassionate.;2024-02-07;344;31
354;2;Three days ago Clementine Sutherland answered the question outstanding understanding of the problem.;2024-02-15;63;2
355;-1;Yesterday Barb Sharp was caught in a restricted section without permission.;2023-10-30;481;68
356;6;Three days ago Raleigh Medford continued to be profoundly approachable.;2024-05-26;74;32
357;-2;A week ago Myra Rayner sent a cursed note to another student.;2024-04-09;328;66
358;-3;Yesterday Arda Allingham used a forbidden spell.;2024-06-09;514;101
359;-3;Yesterday Noella Tozer threw food during mealtime.;2023-11-16;150;95
360;-6;Today Tyler Driver continued to be absurdly demeaning.;2024-05-12;777;14
361;-4;Palmer Amos continued to be ridiculously negligent.;2024-05-13;67;72
362;-6;Three days ago Brody Cheeseman happened to be excessively impatient.;2024-03-13;225;106
363;-3;Today Chandler Parr skipped class without permission.;2024-06-15;574;31
364;9;Today Siouxsie Nicholson was outstandingly friendly.;2024-06-12;255;21
