id;value;award_date;student_id;subject_id;teacher_id
74;E;2023-12-19;31;21;56
75;P;2023-12-26;31;21;56
76;T;2023-08-15;31;21;56
77;P;2023-04-14;31;21;56
78;O;2023-06-26;31;28;86
79;O;2024-06-06;31;28;86
80;T;2023-02-21;31;28;86
81;A;2024-04-01;31;35;98
82;P;2024-04-20;31;35;98
83;D;2023-01-03;31;42;88
84;T;2024-10-03;31;42;88
85;E;2023-09-04;31;49;56
86;P;2023-11-18;31;49;56
87;D;2023-10-13;31;49;56
88;A;2024-06-05;31;49;56
89;P;2023-10-14;37;0;32
90;A;2023-07-16;37;0;32
91;E;2023-12-23;37;0;32
92;E;2024-03-27;37;7;51
93;D;2023-09-20;37;7;51
94;D;2024-02-15;37;7;51
95;T;2023-02-01;37;14;49
96;T;2023-08-28;37;14;49
97;T;2024-05-05;37;21;56
98;T;2023-12-30;37;21;56
99;E;2023-10-18;37;21;56
100;T;2024-01-30;37;28;86
101;D;2023-02-19;37;28;86
102;E;2024-05-16;37;28;86
103;T;2024-12-03;37;28;86
104;O;2024-04-09;37;35;98
105;D;2023-04-28;37;35;98
106;E;2023-05-08;37;35;98
107;A;2024-07-10;37;42;88
108;T;2024-07-19;37;42;88
109;O;2023-08-01;37;49;56
110;T;2024-02-13;37;49;56
111;D;2024-04-10;37;49;56
112;P;2023-12-10;50;0;32
113;E;2023-12-30;50;0;32
114;E;2023-04-23;50;7;51
115;T;2024-02-14;50;7;51
116;T;2024-12-28;50;7;51
117;E;2023-03-10;50;7;51
118;O;2024-12-07;50;14;49
119;A;2023-04-15;50;14;49
120;E;2023-02-27;50;14;49
121;D;2023-05-03;50;21;56
122;E;2023-09-15;50;21;56
123;O;2023-11-14;50;21;56
124;O;2023-01-14;50;21;56
125;E;2024-12-29;50;28;86
126;D;2024-11-26;50;28;86
127;E;2023-10-14;50;35;98
128;P;2023-07-19;50;35;98
129;P;2024-12-07;50;35;98
130;P;2024-05-10;50;35;98
131;D;2023-05-19;50;42;88
132;P;2023-02-23;50;42;88
133;T;2023-04-25;50;42;88
134;P;2023-10-28;50;49;56
135;D;2024-11-02;50;49;56
136;D;2024-09-10;50;49;56
137;E;2023-10-26;50;49;56
138;E;2023-04-22;50;49;56
139;O;2023-03-15;59;0;32
140;T;2023-01-09;59;0;32
141;E;2023-08-23;59;0;32
142;O;2024-01-04;59;0;32
143;O;2024-03-11;59;7;51
144;P;2024-11-08;59;7;51
145;A;2023-08-28;59;7;51
146;T;2024-03-19;59;7;51
147;A;2024-05-10;59;14;49
148;O;2024-08-28;59;14;49
149;P;2024-12-29;59;14;49
150;P;2024-10-05;59;21;56
151;T;2023-02-18;59;21;56
152;O;2024-08-31;59;21;56
153;A;2024-02-17;59;21;56
154;D;2024-02-20;59;28;86
155;E;2024-07-23;59;28;86
156;E;2024-07-29;59;28;86
157;E;2024-03-15;59;35;98
158;P;2024-02-17;59;35;98
159;P;2023-11-12;59;35;98
160;D;2023-04-14;59;35;98
161;E;2023-06-10;59;35;98
162;E;2024-10-29;59;42;88
163;P;2024-04-04;59;42;88
164;E;2023-12-03;59;42;88
165;P;2023-05-19;59;42;88
166;O;2024-08-04;59;42;88
167;T;2024-09-30;59;49;56
168;D;2024-12-19;59;49;56
169;A;2024-10-23;74;0;32
170;O;2024-07-13;74;0;32
171;O;2023-02-13;74;0;32
172;D;2023-06-03;74;0;32
173;P;2024-07-09;74;0;32
174;P;2023-11-26;74;7;51
175;A;2024-05-29;74;7;51
176;D;2024-04-15;74;14;49
177;A;2024-01-07;74;14;49
178;P;2023-06-04;74;14;49
179;O;2024-03-18;74;21;56
180;P;2023-08-03;74;21;56
181;O;2023-11-15;74;21;56
182;E;2024-08-03;74;28;86
183;A;2024-09-21;74;28;86
184;T;2024-08-31;74;28;86
185;P;2024-12-13;74;28;86
186;P;2024-06-23;74;35;98
187;O;2023-01-28;74;35;98
188;D;2023-08-02;74;42;88
189;P;2024-09-30;74;42;88
190;P;2024-12-26;74;42;88
191;A;2024-11-16;74;42;88
192;P;2023-07-30;74;42;88
193;D;2023-10-23;74;49;56
194;P;2024-07-29;74;49;56
195;D;2023-06-09;74;49;56
196;T;2024-06-11;74;49;56
197;E;2023-04-30;80;0;32
198;P;2024-03-12;80;0;32
199;A;2023-05-22;80;0;32
200;E;2024-08-12;80;0;32
201;P;2023-09-12;80;0;32
202;T;2024-07-04;80;7;51
203;D;2023-02-15;80;7;51
204;O;2023-02-28;80;14;49
205;O;2024-11-06;80;14;49
206;T;2023-06-09;80;14;49
207;D;2024-02-16;80;14;49
208;D;2023-06-19;80;21;56
209;D;2024-10-11;80;21;56
210;O;2024-03-15;80;21;56
211;E;2023-08-19;80;28;86
212;O;2023-04-26;80;28;86
213;E;2024-06-30;80;35;98
214;P;2024-09-09;80;35;98
215;E;2023-08-11;80;42;88
216;E;2023-03-29;80;42;88
217;O;2024-01-26;80;42;88
218;T;2024-09-08;80;49;56
219;T;2024-10-13;80;49;56
220;O;2023-10-23;80;49;56
221;A;2023-01-22;81;0;32
222;A;2023-12-29;81;0;32
223;T;2024-05-27;81;0;32
224;D;2023-02-10;81;7;51
225;D;2024-10-07;81;7;51
226;P;2023-12-11;81;14;49
227;O;2023-06-09;81;14;49
228;E;2023-08-13;81;21;56
229;O;2023-02-25;81;21;56
230;D;2024-03-11;81;21;56
231;A;2024-10-08;81;28;86
232;D;2023-04-29;81;28;86
233;O;2023-07-15;81;28;86
234;E;2023-01-30;81;28;86
235;O;2023-12-29;81;35;98
236;O;2024-12-28;81;35;98
237;P;2023-10-01;81;35;98
238;D;2023-05-29;81;35;98
239;O;2024-11-12;81;35;98
240;E;2023-02-01;81;42;88
241;O;2023-09-06;81;42;88
242;E;2024-07-03;81;49;56
243;D;2023-01-17;81;49;56
244;P;2023-05-30;81;49;56
245;T;2024-10-25;81;49;56
246;E;2023-02-23;82;0;32
247;O;2024-02-04;82;0;32
248;D;2023-08-26;82;7;51
249;T;2023-12-07;82;7;51
250;O;2023-02-15;82;7;51
251;P;2023-12-13;82;14;49
252;T;2023-07-18;82;14;49
253;T;2023-09-28;82;14;49
254;O;2024-09-23;82;21;56
255;O;2024-08-29;82;21;56
256;O;2024-08-27;82;21;56
257;O;2023-10-26;82;21;56
258;D;2024-06-14;82;21;56
259;O;2023-03-06;82;28;86
260;E;2023-05-08;82;28;86
261;D;2023-05-22;82;28;86
262;A;2023-02-16;82;28;86
263;E;2023-06-11;82;35;98
264;T;2023-08-12;82;35;98
265;T;2024-12-16;82;35;98
266;P;2024-04-29;82;35;98
267;T;2023-07-25;82;42;88
268;E;2023-08-16;82;42;88
269;A;2023-04-23;82;49;56
270;A;2023-08-27;82;49;56
271;P;2023-05-05;82;49;56
272;D;2024-05-21;82;49;56
273;P;2023-11-07;91;0;32
274;A;2023-10-31;91;0;32
275;D;2023-08-19;91;0;32
276;P;2023-11-08;91;0;32
277;D;2024-06-10;91;7;51
278;D;2023-07-18;91;7;51
279;P;2024-01-04;91;7;51
280;A;2023-06-16;91;7;51
281;D;2023-05-29;91;14;49
282;A;2024-09-15;91;14;49
283;O;2023-06-21;91;14;49
284;P;2024-08-27;91;21;56
285;E;2024-01-05;91;21;56
286;P;2023-08-01;91;28;86
287;O;2024-12-23;91;28;86
288;P;2023-04-29;91;28;86
289;O;2024-01-29;91;35;98
290;P;2024-08-28;91;35;98
291;E;2023-01-23;91;35;98
292;D;2023-04-14;91;42;88
293;E;2023-01-26;91;42;88
294;E;2023-01-03;91;42;88
295;T;2024-08-28;91;42;88
296;O;2024-04-26;91;42;88
297;O;2023-11-28;91;49;56
298;T;2024-01-08;91;49;56
299;P;2024-01-02;91;49;56
300;T;2023-06-01;95;0;32
301;T;2024-10-06;95;0;32
302;T;2023-06-17;95;7;51
303;E;2024-06-15;95;7;51
304;D;2023-09-16;95;7;51
305;T;2024-04-10;95;7;51
306;A;2023-07-03;95;7;51
307;A;2024-11-07;95;14;49
308;O;2024-05-25;95;14;49
309;P;2024-07-18;95;14;49
310;D;2023-05-31;95;21;56
311;O;2023-10-14;95;21;56
312;D;2024-04-04;95;21;56
313;D;2024-12-06;95;21;56
314;E;2023-05-02;95;21;56
315;T;2024-06-11;95;28;86
316;T;2023-11-19;95;28;86
317;P;2024-03-07;95;28;86
318;T;2024-08-19;95;28;86
319;A;2024-06-20;95;28;86
320;O;2024-04-25;95;35;98
321;T;2023-06-13;95;35;98
322;E;2024-02-19;95;42;88
323;D;2024-10-03;95;42;88
324;O;2023-12-07;95;42;88
325;D;2023-11-07;95;49;56
326;O;2024-04-27;95;49;56
327;O;2023-05-07;98;0;32
328;D;2023-05-09;98;0;32
329;P;2023-08-18;98;0;32
330;E;2023-03-22;98;0;32
331;E;2023-01-29;98;7;51
332;T;2023-12-01;98;7;51
333;D;2023-09-16;98;7;51
334;D;2023-05-01;98;7;51
335;E;2023-06-14;98;14;49
336;P;2023-07-27;98;14;49
337;E;2024-02-07;98;21;56
338;E;2023-08-25;98;21;56
339;P;2024-04-02;98;21;56
340;E;2024-10-14;98;21;56
341;A;2024-01-27;98;28;86
342;A;2024-06-19;98;28;86
343;O;2024-06-23;98;28;86
344;T;2024-05-16;98;35;98
345;T;2024-08-01;98;35;98
346;A;2023-05-02;98;35;98
347;A;2024-02-28;98;35;98
348;A;2024-02-05;98;35;98
349;D;2023-07-08;98;42;88
350;P;2024-08-03;98;42;88
351;D;2024-11-12;98;42;88
352;E;2023-01-17;98;42;88
353;P;2023-08-26;98;42;88
354;A;2024-12-17;98;49;56
355;D;2024-07-19;98;49;56
356;P;2023-07-19;98;49;56
357;E;2023-02-02;98;49;56
358;D;2023-02-05;98;49;56
359;P;2024-09-18;101;0;32
360;E;2023-09-02;101;0;32
361;O;2023-10-26;101;0;32
362;A;2023-06-27;101;0;32
363;A;2023-10-13;101;7;51
364;E;2023-06-26;101;7;51
365;T;2023-02-15;101;14;49
366;T;2023-05-10;101;14;49
367;E;2024-07-04;101;14;49
368;D;2023-09-07;101;14;49
369;A;2024-11-12;101;14;49
370;P;2024-10-21;101;21;56
371;D;2024-07-05;101;21;56
372;A;2024-02-27;101;28;86
373;O;2024-01-28;101;28;86
374;E;2023-06-09;101;28;86
375;T;2024-12-01;101;28;86
376;A;2023-05-21;101;35;98
377;T;2024-11-27;101;35;98
378;P;2024-03-28;101;35;98
379;T;2024-02-04;101;42;88
380;E;2023-09-19;101;42;88
381;A;2023-06-06;101;42;88
382;D;2023-08-14;101;42;88
383;A;2024-09-05;101;49;56
384;T;2024-06-07;101;49;56
385;O;2023-05-25;101;49;56
386;D;2024-04-28;104;0;32
387;D;2024-07-01;104;0;32
388;T;2024-11-22;104;7;51
389;E;2024-10-06;104;7;51
390;P;2023-08-23;104;7;51
391;E;2024-07-31;104;7;51
392;D;2024-12-09;104;7;51
393;A;2023-09-13;104;14;49
394;D;2023-07-05;104;14;49
395;E;2024-01-31;104;21;56
396;P;2023-02-15;104;21;56
397;T;2024-05-04;104;21;56
398;A;2023-11-20;104;21;56
399;T;2023-10-20;104;28;86
400;O;2023-11-21;104;28;86
401;P;2024-11-18;104;35;98
402;T;2024-06-20;104;35;98
403;O;2024-08-08;104;35;98
404;D;2023-10-08;104;35;98
405;P;2023-06-04;104;35;98
406;A;2023-12-25;104;42;88
407;P;2023-08-14;104;42;88
408;T;2023-10-27;104;49;56
409;D;2023-11-14;104;49;56
410;D;2024-04-02;104;49;56
411;A;2023-11-19;106;0;32
412;O;2023-11-21;106;0;32
413;T;2024-03-22;106;0;32
414;A;2023-12-09;106;0;32
415;O;2024-04-07;106;0;32
416;O;2023-02-16;106;7;51
417;A;2024-11-04;106;7;51
418;P;2023-07-05;106;7;51
419;A;2024-05-13;106;7;51
420;O;2024-11-07;106;7;51
421;D;2024-12-22;106;14;49
422;O;2024-12-15;106;14;49
423;P;2023-12-13;106;14;49
424;A;2024-05-10;106;14;49
425;P;2024-04-28;106;14;49
426;E;2024-10-23;106;21;56
427;E;2024-09-07;106;21;56
428;A;2023-04-28;106;21;56
429;O;2024-07-23;106;28;86
430;T;2024-11-23;106;28;86
431;D;2024-12-21;106;28;86
432;P;2023-08-07;106;28;86
433;T;2024-01-19;106;35;98
434;T;2023-03-29;106;35;98
435;O;2024-11-08;106;35;98
436;E;2024-01-10;106;35;98
437;A;2023-10-29;106;42;88
438;O;2024-12-05;106;42;88
439;E;2023-03-22;106;42;88
440;A;2024-08-24;106;42;88
441;T;2024-03-05;106;42;88
442;O;2024-01-25;106;49;56
443;A;2023-09-17;106;49;56
444;O;2023-01-19;106;49;56
445;O;2023-05-30;111;0;32
446;E;2024-01-19;111;0;32
447;T;2023-01-02;111;0;32
448;O;2024-02-17;111;7;51
449;O;2024-10-20;111;7;51
450;O;2023-11-11;111;7;51
451;E;2024-12-22;111;14;49
452;E;2024-12-22;111;14;49
453;T;2023-07-06;111;14;49
454;O;2024-09-06;111;14;49
455;P;2023-11-03;111;21;56
456;E;2024-10-18;111;21;56
457;D;2023-08-11;111;21;56
458;D;2023-01-28;111;21;56
459;O;2023-07-11;111;21;56
460;E;2024-12-31;111;28;86
461;E;2023-11-14;111;28;86
462;O;2023-12-15;111;28;86
463;P;2023-09-18;111;28;86
464;P;2023-08-13;111;28;86
465;D;2023-11-18;111;35;98
466;O;2023-08-03;111;35;98
467;T;2023-07-19;111;35;98
468;T;2023-10-19;111;35;98
469;T;2024-04-12;111;42;88
470;T;2023-03-27;111;42;88
471;O;2023-01-24;111;42;88
472;A;2023-07-22;111;42;88
473;A;2023-01-19;111;49;56
474;O;2023-06-12;111;49;56
475;P;2023-04-25;111;49;56
476;P;2024-04-23;111;49;56
477;E;2023-10-05;111;49;56
478;T;2023-01-04;115;0;32
479;O;2023-09-10;115;0;32
480;E;2023-08-25;115;7;51
481;T;2023-11-04;115;7;51
482;T;2024-11-19;115;7;51
483;D;2024-11-21;115;7;51
484;P;2024-03-17;115;7;51
485;E;2024-02-09;115;14;49
486;O;2024-11-11;115;14;49
487;T;2024-08-30;115;14;49
488;A;2024-05-05;115;14;49
489;A;2023-04-26;115;14;49
490;T;2024-02-06;115;21;56
491;O;2024-12-09;115;21;56
492;A;2024-07-17;115;21;56
493;A;2024-02-10;115;21;56
494;D;2024-01-16;115;21;56
495;O;2023-06-20;115;28;86
496;D;2024-04-19;115;28;86
497;T;2023-11-20;115;28;86
498;D;2024-08-06;115;28;86
499;P;2024-12-30;115;28;86
500;A;2024-10-09;115;35;98
501;P;2023-06-20;115;35;98
502;E;2024-10-15;115;35;98
503;P;2023-04-14;115;42;88
504;P;2024-01-29;115;42;88
505;E;2023-06-23;115;42;88
506;P;2024-06-11;115;49;56
507;E;2024-03-21;115;49;56
508;O;2024-04-17;118;0;32
509;A;2023-12-21;118;0;32
510;A;2024-01-14;118;0;32
511;O;2023-03-18;118;0;32
512;T;2024-03-31;118;0;32
513;D;2023-05-12;118;7;51
514;E;2023-09-04;118;7;51
515;E;2023-11-15;118;7;51
516;D;2023-03-28;118;7;51
517;E;2023-03-17;118;7;51
518;P;2024-05-18;118;14;49
519;D;2023-05-01;118;14;49
520;P;2024-12-06;118;14;49
521;P;2023-11-27;118;21;56
522;A;2024-06-20;118;21;56
523;D;2024-12-02;118;28;86
524;A;2024-03-05;118;28;86
525;O;2023-10-06;118;28;86
526;P;2024-01-02;118;28;86
527;O;2024-09-04;118;35;98
528;P;2023-04-12;118;35;98
529;A;2023-10-05;118;35;98
530;T;2024-09-19;118;42;88
531;O;2023-02-13;118;42;88
532;O;2024-04-14;118;42;88
533;E;2024-08-12;118;42;88
534;O;2023-05-02;118;42;88
535;E;2024-11-14;118;49;56
536;A;2024-08-08;118;49;56
537;A;2023-11-01;118;49;56
538;O;2023-06-21;118;49;56
539;A;2024-07-30;118;49;56
540;E;2023-08-21;122;0;32
541;D;2023-04-12;122;0;32
542;T;2023-10-05;122;0;32
543;P;2023-06-01;122;0;32
544;E;2024-11-16;122;0;32
545;T;2024-02-17;122;7;51
546;P;2024-02-09;122;7;51
547;T;2024-02-21;122;7;51
548;D;2023-06-20;122;7;51
549;A;2024-07-27;122;7;51
550;O;2023-07-08;122;14;49
551;D;2023-07-06;122;14;49
552;T;2023-12-14;122;14;49
553;E;2024-07-08;122;14;49
554;O;2023-04-03;122;14;49
555;P;2024-05-26;122;21;56
556;D;2023-11-28;122;21;56
557;T;2023-10-19;122;21;56
558;A;2024-03-14;122;21;56
559;T;2024-09-08;122;28;86
560;A;2023-08-13;122;28;86
561;D;2024-06-05;122;28;86
562;O;2023-07-21;122;28;86
563;D;2024-05-27;122;35;98
564;E;2024-12-31;122;35;98
565;T;2024-09-25;122;42;88
566;D;2023-05-08;122;42;88
567;A;2023-12-15;122;42;88
568;T;2023-10-15;122;42;88
569;E;2024-06-08;122;49;56
570;P;2023-02-17;122;49;56
571;D;2024-02-14;123;0;32
572;D;2023-05-16;123;0;32
573;D;2023-11-12;123;0;32
574;D;2024-12-08;123;7;51
575;A;2023-12-02;123;7;51
576;T;2023-06-20;123;7;51
577;A;2023-11-30;123;7;51
578;E;2023-09-16;123;7;51
579;O;2023-01-13;123;14;49
580;T;2023-03-23;123;14;49
581;D;2023-02-10;123;14;49
582;D;2024-09-02;123;21;56
583;O;2024-03-17;123;21;56
584;O;2024-02-29;123;21;56
585;A;2023-04-29;123;28;86
586;O;2024-04-02;123;28;86
587;O;2023-06-18;123;28;86
588;P;2024-08-01;123;28;86
589;E;2024-04-29;123;35;98
590;P;2023-07-15;123;35;98
591;E;2023-01-31;123;42;88
592;D;2024-02-01;123;42;88
593;P;2024-08-22;123;42;88
594;T;2023-03-08;123;42;88
595;A;2024-03-31;123;42;88
596;A;2023-09-04;123;49;56
597;T;2023-03-14;123;49;56
598;A;2024-09-08;123;49;56
599;D;2024-02-05;123;49;56
600;T;2023-03-20;128;0;32
601;D;2024-08-01;128;0;32
602;T;2024-02-19;128;0;32
603;A;2023-03-12;128;0;32
604;A;2024-09-19;128;0;32
605;D;2024-06-05;128;7;51
606;O;2024-06-02;128;7;51
607;T;2024-09-04;128;14;49
608;T;2024-12-05;128;14;49
609;D;2023-10-31;128;14;49
610;O;2024-03-23;128;14;49
611;E;2023-02-09;128;21;56
612;D;2024-11-26;128;21;56
613;A;2023-11-22;128;21;56
614;A;2024-10-11;128;21;56
615;T;2023-09-16;128;28;86
616;E;2024-06-16;128;28;86
617;O;2023-04-23;128;28;86
618;A;2023-01-30;128;35;98
619;O;2023-05-29;128;35;98
620;T;2023-05-14;128;35;98
621;P;2024-12-02;128;35;98
622;P;2024-04-02;128;35;98
623;P;2023-07-14;128;42;88
624;T;2023-12-13;128;42;88
625;T;2023-10-03;128;42;88
626;D;2024-07-23;128;49;56
627;P;2024-10-14;128;49;56
628;D;2024-08-02;128;49;56
629;D;2024-09-13;128;49;56
630;T;2024-08-13;129;0;32
631;A;2024-02-13;129;0;32
632;T;2024-11-21;129;7;51
633;O;2023-08-10;129;7;51
634;A;2023-06-10;129;7;51
635;O;2023-09-10;129;14;49
636;A;2024-07-01;129;14;49
637;T;2024-07-13;129;14;49
638;D;2023-10-13;129;14;49
639;E;2023-06-02;129;14;49
640;P;2024-11-09;129;21;56
641;D;2024-06-10;129;21;56
642;O;2023-10-16;129;28;86
643;E;2024-10-18;129;28;86
644;P;2024-01-23;129;35;98
645;A;2024-09-26;129;35;98
646;E;2023-06-27;129;42;88
647;D;2024-11-29;129;42;88
648;D;2024-08-08;129;42;88
649;P;2024-11-12;129;42;88
650;A;2023-01-11;129;42;88
651;T;2023-08-10;129;49;56
652;O;2024-04-28;129;49;56
653;T;2023-10-04;129;49;56
654;D;2024-06-24;129;49;56
655;O;2024-07-28;132;0;32
656;O;2023-12-01;132;0;32
657;O;2024-12-30;132;7;51
658;P;2023-06-16;132;7;51
659;O;2023-08-26;132;7;51
660;A;2024-04-08;132;7;51
661;D;2024-03-02;132;14;49
662;E;2023-05-09;132;14;49
663;O;2024-11-30;132;14;49
664;E;2024-09-23;132;21;56
665;P;2023-09-22;132;21;56
666;O;2023-01-28;132;21;56
667;T;2024-07-19;132;21;56
668;O;2024-08-05;132;28;86
669;D;2023-10-21;132;28;86
670;E;2023-08-10;132;35;98
671;P;2023-04-04;132;35;98
672;T;2023-09-24;132;35;98
673;O;2024-03-23;132;35;98
674;D;2024-04-24;132;35;98
675;O;2023-03-19;132;42;88
676;P;2024-06-07;132;42;88
677;P;2023-04-22;132;49;56
678;O;2023-05-22;132;49;56
679;A;2024-08-17;132;49;56
680;D;2023-03-05;132;49;56
681;T;2023-02-17;132;49;56
682;O;2023-11-20;135;0;32
683;D;2024-09-26;135;0;32
684;D;2024-09-16;135;0;32
685;D;2024-03-12;135;7;51
686;E;2024-08-10;135;7;51
687;O;2024-01-15;135;7;51
688;T;2023-06-20;135;14;49
689;T;2024-10-14;135;14;49
690;T;2024-03-22;135;14;49
691;P;2023-02-16;135;21;56
692;P;2023-03-26;135;21;56
693;D;2024-04-02;135;28;86
694;D;2023-09-08;135;28;86
695;D;2023-09-02;135;35;98
696;D;2024-11-30;135;35;98
697;P;2024-02-18;135;35;98
698;P;2023-11-08;135;35;98
699;O;2023-07-28;135;42;88
700;P;2024-03-23;135;42;88
701;A;2024-04-11;135;42;88
702;A;2023-08-14;135;49;56
703;D;2024-12-24;135;49;56
704;E;2023-08-02;135;49;56
705;E;2023-08-15;140;0;32
706;A;2024-05-02;140;0;32
707;T;2024-06-05;140;0;32
708;A;2023-10-25;140;0;32
709;D;2024-08-31;140;0;32
710;O;2023-05-16;140;7;51
711;T;2023-07-12;140;7;51
712;D;2024-11-27;140;7;51
713;P;2024-02-03;140;14;49
714;E;2024-05-13;140;14;49
715;O;2024-12-05;140;21;56
716;D;2023-06-19;140;21;56
717;P;2024-04-27;140;21;56
718;O;2024-01-13;140;21;56
719;P;2023-09-25;140;21;56
720;T;2024-01-10;140;28;86
721;E;2023-08-28;140;28;86
722;T;2023-05-17;140;28;86
723;P;2024-04-28;140;28;86
724;A;2023-07-16;140;35;98
725;P;2024-01-17;140;35;98
726;P;2023-07-30;140;35;98
727;D;2023-04-08;140;35;98
728;A;2023-08-14;140;42;88
729;P;2023-10-29;140;42;88
730;T;2023-11-30;140;42;88
731;E;2024-11-29;140;42;88
732;E;2024-11-29;140;49;56
733;E;2024-07-14;140;49;56
734;D;2024-11-11;153;0;32
735;O;2023-08-14;153;0;32
736;D;2024-02-18;153;0;32
737;P;2024-05-08;153;0;32
738;O;2024-01-08;153;7;51
739;D;2024-09-10;153;7;51
740;P;2024-10-23;153;7;51
741;T;2024-12-15;153;14;49
742;E;2023-07-27;153;14;49
743;E;2024-10-22;153;14;49
744;D;2024-08-23;153;14;49
745;T;2024-05-13;153;21;56
746;E;2023-04-22;153;21;56
747;T;2024-09-01;153;21;56
748;D;2023-02-06;153;21;56
749;O;2024-05-20;153;28;86
750;E;2023-02-20;153;28;86
751;A;2024-10-11;153;28;86
752;A;2023-10-03;153;28;86
753;T;2023-07-22;153;28;86
754;P;2023-04-09;153;35;98
755;D;2024-01-10;153;35;98
756;D;2024-01-14;153;35;98
757;P;2023-01-04;153;42;88
758;P;2023-10-30;153;42;88
759;E;2024-03-18;153;49;56
760;A;2024-12-15;153;49;56
761;O;2024-04-25;153;49;56
762;D;2023-03-21;153;49;56
763;A;2023-01-02;153;49;56
764;O;2023-10-27;161;0;32
765;P;2024-07-15;161;0;32
766;D;2024-10-07;161;7;51
767;E;2023-03-23;161;7;51
768;T;2023-12-01;161;7;51
769;E;2023-06-20;161;7;51
770;A;2024-01-25;161;14;49
771;E;2023-04-17;161;14;49
772;P;2024-05-31;161;14;49
773;O;2023-10-19;161;14;49
774;D;2023-09-12;161;14;49
775;P;2023-01-03;161;21;56
776;E;2024-03-28;161;21;56
777;D;2023-01-18;161;21;56
778;E;2023-08-23;161;21;56
779;E;2024-07-25;161;28;86
780;E;2023-10-23;161;28;86
781;P;2023-09-24;161;28;86
782;O;2023-11-24;161;28;86
783;E;2024-08-27;161;28;86
784;E;2023-07-01;161;35;98
785;O;2024-07-23;161;35;98
786;T;2023-08-22;161;35;98
787;D;2023-02-13;161;35;98
788;P;2023-07-07;161;42;88
789;P;2023-11-20;161;42;88
790;P;2023-04-30;161;42;88
791;T;2024-08-21;161;42;88
792;P;2023-12-05;161;42;88
793;A;2023-01-11;161;49;56
794;T;2023-01-30;161;49;56
795;O;2024-08-16;161;49;56
796;A;2024-07-24;163;0;32
797;P;2023-03-10;163;0;32
798;E;2023-06-15;163;0;32
799;A;2023-08-08;163;0;32
800;P;2023-05-24;163;7;51
801;P;2023-06-13;163;7;51
802;O;2024-11-06;163;7;51
803;E;2023-11-09;163;7;51
804;A;2024-03-28;163;7;51
805;T;2024-03-24;163;14;49
806;T;2024-01-01;163;14;49
807;O;2024-02-12;163;14;49
808;D;2023-10-12;163;14;49
809;D;2023-03-16;163;14;49
810;T;2024-12-19;163;21;56
811;P;2024-08-04;163;21;56
812;E;2024-11-01;163;21;56
813;A;2023-04-21;163;28;86
814;O;2024-09-18;163;28;86
815;D;2024-07-01;163;28;86
816;D;2023-05-31;163;35;98
817;O;2024-07-06;163;35;98
818;O;2023-09-20;163;42;88
819;D;2023-05-29;163;42;88
